tm1022912,One,MOVIE,"Story of Kadakkal Chandran, the Chief Minister of Kerala whose uncompromising attitude towards corruption and his dictatorial actions has gained him a lot of enemies. The events gets more intense when he faces an allegation.",2021,tt11286552,6.5,2672,2020s
tm102337,A Nightmare on Elm Street,MOVIE,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.",2010,tt1179056,5.19999980926514,99192,2010s
tm1023388,Madame Claude,MOVIE,"Paris, the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the french political and criminal worlds. But the end of her empire is closer than she thinks.",2021,tt10307724,5.40000009536743,3282,2020s
tm1024062,Nayattu,MOVIE,"Three police officers are forced to go on the run when they get tangled in the death of a youth, a few days before the election.",2021,tt11604676,8.10000038146973,6780,2020s
tm1025318,Ajeeb Daastaans,MOVIE,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,2021,tt14091818,6.69999980926514,5620,2020s
tm1025493,Dasvi,MOVIE,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school, while his scheming wife has plans of her own.",2022,tt14107554,8,13140,2020s
tm1027081,Blood Red Sky,MOVIE,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,2021,tt11607896,6.09999990463257,44006,2020s
tm102740,The Other Guys,MOVIE,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",2010,tt1386588,6.59999990463257,263019,2010s
tm1027639,Annaatthe,MOVIE,"Kaaliyan is a village president in the Madurai district, who is fondly called Annaatthe. His nieces compete with each other to marry him. But, he falls in love with another woman who visits their village. Kaaliyan has a sister who gets married and shifts to Kolkata where she faces some unknown threats. Soon, her brother comes to her aid.",2021,tt11253090,4.59999990463257,9400,2020s
tm1027712,This Little Love of Mine,MOVIE,"Laura Price is a successful San Francisco lawyer on the cusp of promotion Ã¢â‚¬â€œ a far cry from her childhood growing up on a tropical island with best friends Chip and Gem. When the firmÃ¢â‚¬â„¢s biggest client Ã¢â‚¬â€œ ChipÃ¢â‚¬â„¢s grandfather Ã¢â‚¬â€œ asks Laura to travel to the island and deliver a contract to make Chip his heir, she leaves behind her practice and fiancÃƒÂ© Owen to convince her childhood friend to sign a contract that will make him a billionaire.",2021,tt12546872,5.30000019073486,2393,2020s
tm1028026,Irul,MOVIE,"A dark rainy night, an empty house, a stranded couple and an unknown man. A sleek game of the cat and the mouse starts playing on, as the three of them find a dead body in the basement.",2021,tt13103212,5.80000019073486,3021,2020s
tm1028298,He's All That,MOVIE,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",2021,tt4590256,4.30000019073486,23474,2020s
tm102848,Peepli Live,MOVIE,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.",2010,tt1447508,7.40000009536743,12265,2010s
tm1029256,Ferry,MOVIE,"Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested Ã¢â‚¬â€ and a love that alters his life.",2021,tt14217100,7,10748,2020s
tm1029314,Have You Ever Seen Fireflies?,MOVIE,"Rebellious, irreverent wunderkind GÃƒÂ¼lseren navigates loneliness, love and loss against the current of political turmoil and social change.",2021,tt13317694,6.19999980926514,4934,2020s
tm1030241,Kurup,MOVIE,The Film is based on the infamous 'Charlie Murder Case' in the Indian State of Kerala where the main culprit Sukumara Kurup has been on the run for decades and is still not been caught. The story revolves around the perspective of Sukumara Kurup and the Police officers who were investigating the case.,2021,tt7026666,7.40000009536743,11582,2020s
tm1030283,Why Did You Kill Me?,MOVIE,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,2021,tt14318430,5.59999990463257,4057,2020s
tm103095,Ip Man 2,MOVIE,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.",2010,tt1386932,7.5,103673,2010s
tm103133,Karthik Calling Karthik,MOVIE,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.",2010,tt1373156,7.09999990463257,11944,2010s
tm1031976,Dhamaka,MOVIE,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback Ã¢â‚¬â€ but it may cost his conscience.",2021,tt13510660,7.5,39620,2020s
tm1033470,Till Death,MOVIE,"After a romantic evening at their secluded lake house, a woman wakes up handcuffed to her dead husband. Trapped and isolated in the dead of winter, she must fight off hired killers to escape her late spouse's twisted plan.",2021,tt11804152,5.80000019073486,19029,2020s
tm1033803,Searching for Sheela,MOVIE,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune's spokesperson returns to India after decades for an interview tour.,2021,tt14167424,4.19999980926514,1327,2020s
tm1036270,I Am All Girls,MOVIE,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,2021,tt9013182,5.90000009536743,5704,2020s
